County,Jurisdiction,Clerk,Address,Hours
MIDLAND,HOPE TOWNSHIP,CAROL COYLE,"5244 N. HOPE RD,HOPE,MI,48628",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MIDLAND,INGERSOLL TOWNSHIP,MARY ELLEN KEEL,"4183 S. SMITH CROSSING,WHITE MAIL BOX NEXT TO GARAGE,FREELAND,MI,48623",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MIDLAND,INGERSOLL TOWNSHIP,MARY ELLEN KEEL,"3026 S. SASSE ROAD,INGERSOLL TOWNSHIP HALL,MIDLAND,MI,48640",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MIDLAND,JASPER TOWNSHIP,KRISTINA DEBOLT,"5595 W KENT RD,ST LOUIS,MI,48880",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MIDLAND,JEROME TOWNSHIP,GIL BERNIER,"737 W. BEAMISH RD.,SANFORD,MI,48657",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MIDLAND,LARKIN TOWNSHIP,GREYDON KOELLMANN,"3027 N JEFFERSON AVE,MIDLAND,MI,48642",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MIDLAND,LEE TOWNSHIP,LAURA DAWSON,"1485 W.OLSON RD.,MIDLAND,MI,48640",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MIDLAND,LINCOLN TOWNSHIP,STEVE KING,"1882 N. HOPE RD.,MIDLAND,MI,48642",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;
MIDLAND,MIDLAND CITY,LACEY TODD,"333 W. ELLSWORTH STREET,MIDLAND,MI,48640",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MIDLAND,MIDLAND CITY,LACEY TODD,"405 FAST ICE DR,MIDLAND,MI,48642",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MIDLAND,MIDLAND CITY,LACEY TODD,"6603 BARSTOW DR,MIDLAND,MI,48642",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MIDLAND,MIDLAND TOWNSHIP,SHELLY L ARMSTRONG-MILLER,"1030 S POSEYVILLE RD,MIDLAND,MI,48640",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MIDLAND,MILLS TOWNSHIP,KIM SWEET,"3480 E. SHEARER ROAD,MIDLAND,MI,48642",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MIDLAND,MOUNT HALEY TOWNSHIP,KAREN RADOSA,"3012 S. HOMER ROAD,MERRILL,MI,48637",
MIDLAND,PORTER TOWNSHIP,MARIANNE CORBAT,"4029 S. 9 MILE RD,BRECKENRIDGE,MI,48615",
MIDLAND,WARREN TOWNSHIP,LINDA S. ANTHONY,"4506 W. BAKER ROAD,COLEMAN,MI,48618",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MISSAUKEE,AETNA TOWNSHIP,LINDA BROWN,"2950 E. KELLY RD.,FALMOUTH,MI,49632",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MISSAUKEE,BLOOMFIELD TOWNSHIP,CHERRIE PARK,"9592 W ARNOLD ROAD,MANTON,MI,49663",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MISSAUKEE,CALDWELL TOWNSHIP,SHELLEY SLOAT,"7313 W RHOBY RD. LAKE CITY, MI  49651,LOCATION:  CLERKS RESIDENCE- RIGHT BY THE GARAGE,LAKE CITY,MI,49651",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MISSAUKEE,ENTERPRISE TOWNSHIP,K LYNN POPE,"9022 E BURNS ROAD,MERRITT,MI,49667",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MISSAUKEE,FOREST TOWNSHIP,LEANN VOKES,"1181 N. DECKER RD,LAKE CITY,MI,49651",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MISSAUKEE,HOLLAND TOWNSHIP,DONNA BODE,"6978E. FINKLE RDD,FALMOUTH,MI,49632",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MISSAUKEE,LAKE TOWNSHIP,KORINDA WINKELMANN,"8105 W Kelly Rd,Lake City,MI,49651",24/7
MISSAUKEE,MCBAIN CITY,PAULA DYKHOUSE,"9478 S MOREY ROAD,MCBAIN,MI,49657",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MISSAUKEE,NORWICH TOWNSHIP,HEATHER KLEIN,"4551 E MOORESTOWN RD,LAKE CITY,MI,49651",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MISSAUKEE,PIONEER TOWNSHIP,KAREN EMOND,"2914 WEST MOORESTOWN ROAD,LAKE CITY,MI,49651",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MISSAUKEE,REEDER TOWNSHIP,ANN ROBERTS,"2970 W KELLY RD,LAKE CITY,MI,49651",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MISSAUKEE,RICHLAND TOWNSHIP,SARAH LUTKE,"9698 W CAVANAUGH RD,MC BAIN,MI,49657",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MISSAUKEE,RIVERSIDE TOWNSHIP,JILL GEESEMAN,"2900 W GEERS ROAD,MCBAIN,MI,49657",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MISSAUKEE,WEST BRANCH TOWNSHIP,YVONNE AHRENS,"2860 E WALKER RD,WEST BRANCH TOWNSHIP HALL,LAKE CITY,MI,49651",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONROE,ASH TOWNSHIP,JENNIFER WILLIS,"1677 READY RD,CARLETON,MI,48117",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONROE,BEDFORD TOWNSHIP,TRUDY HERSHBERGER,"WEST DEAN ROAD,ACROSS FROM THE LAMBERTVILLE FIRE STATION,LAMBERTVILLE,MI,48144",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONROE,BEDFORD TOWNSHIP,TRUDY HERSHBERGER,"8100 JACKMAN ROAD,AT TOWNSHIP GOVERNMENT CENTER,TEMPERANCE,MI,48182",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONROE,BERLIN TOWNSHIP,DENISE SOVEY-MEYER,"8000 SWAN VIEW,NEWPORT,MI,48166",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONROE,DUNDEE TOWNSHIP,KARLA ZIESMER,"DUNDEE TOWNSHIP HALL,179 MAIN STREET,DUNDEE,MI,48131",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONROE,ERIE TOWNSHIP,KIMBERLY COUSINO,"2065 ERIE RD,ERIE,MI,48133",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONROE,EXETER TOWNSHIP,CHRISTINA BOGOSKI,"6158 Scofield Rd,Maybee,MI,48159",24/7
MONROE,FRENCHTOWN TOWNSHIP,KYLE T. BRYANT,"2744 VIVIAN RD.,MONROE,MI,48162",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONROE,FRENCHTOWN TOWNSHIP,KYLE T. BRYANT,"2744 VIVIAN RD.,MONROE,MI,48162",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;
MONROE,IDA TOWNSHIP,TERA SHAFFER,"3016 LEWIS AVENUE,IDA,MI,48140",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONROE,LA SALLE TOWNSHIP,LADEANA MORR,"4111 LAPLAISANCE ROAD,LA SALLE,MI,48145",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONROE,LONDON TOWNSHIP,ANITA STRAUB,"13613 TUTTLEHILL RD,MILAN,MI,48160",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONROE,LUNA PIER CITY,CHARLIE BOYCE,"4357 BUCKEYE STREET,LUNA PIER,MI,48157",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONROE,MILAN TOWNSHIP,STEPHANIE KOZAR,"16444 CONE RD,INSIDE VESTIBULE,MILAN,MI,48160",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONROE,MONROE CITY,MICHELLE J LAVOY,"120 E FIRST ST,CITY HALL PARKING LOT,MONROE,MI,48161",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONROE,MONROE CITY,MICHELLE J LAVOY,"1755 N CUSTER RD,MONROE,MI,48162",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONROE,MONROE CITY,MICHELLE J LAVOY,"911 E 3RD ST,MONROE,MI,48161",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONROE,MONROE TOWNSHIP,CHRISTINA SMITH,"4925 E. Dunbar Rd.,Outside main entrance.,Monroe,MI,48161",24/7
MONROE,PETERSBURG CITY,JENNIFER DOUGHTY,"24 E CENTER STREET,PETERSBURG,MI,49270",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONROE,RAISINVILLE TOWNSHIP,BRENDA FETTERLY,"96 IDA-MAYBEE ROAD,MONROE,MI,48161",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONROE,SUMMERFIELD TOWNSHIP,ALEXA KOLBE,"15 E. CENTER STREET,PETERSBURG,MI,49270",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONROE,WHITEFORD TOWNSHIP,CHRISTINE BISCHOFF,"8000 YANKEE ROAD  SUITE 100,INSIDE BUILDING IN THE WALL DROP BOX,OTTAWA LAKE,MI,49267",MONDAY 7:00AM - 5:00PM;TUESDAY 7:00AM - 5:00PM;WEDNESDAY 7:00AM - 5:00PM;THURSDAY 7:00AM - 5:00PM;FRIDAY 7:00AM - 5:00PM;
MONROE,WHITEFORD TOWNSHIP,CHRISTINE BISCHOFF,"9244 WHITEFORD CENTER ROAD,OTTAWA LAKE,MI,49267",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTCALM,BELVIDERE TOWNSHIP,SHEILA SMITH,"107 VESTA STREET,SIX LAKES,MI,48886",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTCALM,BLOOMER TOWNSHIP,TARA CHAPKO,"9890 E. CARSON CITY RD,CARSON CITY,MI,48811",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTCALM,BUSHNELL TOWNSHIP,LOUISE BELYOU,"2983 E BOYER RD/ PO BOX 6,FENWICK,MI,48834",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTCALM,CARSON CITY CITY,JONI JEGLA,"652 N. WILLIAMS,P O BOX 340,CARSON CITY,MI,48811",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTCALM,CATO TOWNSHIP,GINGER IMHOFF,"309 LINCOLN AVE.,LAKEVIEW,MI,48850",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTCALM,CRYSTAL TOWNSHIP,PATTY BAKER-MAREK,"217 W PARK STREET,PO BOX 358,CRYSTAL,MI,48818",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTCALM,DAY TOWNSHIP,KRYSTI PERKINS,"2085 MAIN ST,MCBRIDE,MI,48852",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTCALM,DOUGLASS TOWNSHIP,HOLLY HUFF,"3521 W McBride Rd,East side of building between door and window,Stanton,MI,48888",24/7
MONTCALM,EUREKA TOWNSHIP,LINDA RUWERSMA,"9322 SW GREENVILLE ROAD,GREENVILLE,MI,48838",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTCALM,EVERGREEN TOWNSHIP,KELLI GREENHOE,"3044 E. Sidney Rd,Sheridan,MI,48884",24/7
MONTCALM,FAIRPLAIN TOWNSHIP,STACIE PRIBBLE,"8383 GROW RD.,GREENVILLE,MI,48838",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTCALM,FERRIS TOWNSHIP,TAMMY CARTER,"3011 N CRYSTAL RD,VESTABURG,MI,48891",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTCALM,GREENVILLE CITY,KRISSI BROTT,"411 S LAFAYETTE ST,GREENVILLE,MI,48838",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTCALM,GREENVILLE CITY,KRISSI BROTT,"411 S LAYFAYETTE ST,GREENVILLE,MI,48838",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTCALM,GREENVILLE CITY,KRISSI BROTT,"411 S LAYFAYETTE ST,GREENVILLE,MI,48838",MONDAY 8:00AM - 5:00PM;TUESDAY 8:00AM - 6:00PM;WEDNESDAY 8:00AM - 5:00PM;THURSDAY 8:00AM - 5:00PM;FRIDAY 8:00AM - 1:00PM;
MONTCALM,HOME TOWNSHIP,LEAH TURNBULL,"1251 E. M-46,EDMORE,MI,48829",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTCALM,MAPLE VALLEY TOWNSHIP,ANDI KNAPP,"4662 BAILEY ROAD,PO BOX 56,CORAL,MI,49322",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTCALM,MONTCALM TOWNSHIP,CHRISTINE FOLEY,"1880 S GREENVILLE RD,GREENVILLE,MI,48838",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTCALM,PIERSON TOWNSHIP,SARA BURKHOLDER,"21156 W. CANNONSVILLE RD,PIERSON,MI,49339",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTCALM,PINE TOWNSHIP,MARLA SPRAGUE,"7900 SECOND ST,STANTON,MI,48888",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTCALM,REYNOLDS TOWNSHIP,ROBIN SHOLTY,"1200 S. ENSLEY ST.,HOWARD CITY,MI,49329",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTCALM,SIDNEY TOWNSHIP,CARRIE WILLS,"3019 S GROW RD,SIDNEY,MI,48885",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTCALM,STANTON CITY,SARAH JOHNSON,"225 S CAMBURN ST,STANTON,MI,48888",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTCALM,WINFIELD TOWNSHIP,CAROLESUE CHASE-STOUT,"9429 ELM ST,HOWARD CITY (AMBLE),MI,49329",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTMORENCY,ALBERT TOWNSHIP,SANDY RAFFIN,"ALBERT TOWNSHIP HALL, 4360 HANSON,LEWISTON,MI,49756",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTMORENCY,BRILEY TOWNSHIP,GORDON GREEN,"12423 JEROME ST.,ATLANTA,MI,49709",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTMORENCY,HILLMAN TOWNSHIP,KELLI ABLEIDINGER,"24220 VETERANS MEMORIAL,HILLMAN,MI,49746",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTMORENCY,LOUD TOWNSHIP,ROBIN CHINAVARE,"3882 M 33,ATLANTA,MI,49709",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTMORENCY,MONTMORENCY TOWNSHIP,CONNIE BRANDT,"20841 N CO RD 459,HILLMAN,MI,49746",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MONTMORENCY,VIENNA TOWNSHIP,ELAINE DIXON,"2734 M-32,ATLANTA,MI,49709",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;
MUSKEGON,BLUE LAKE TOWNSHIP,JEFFERY ABRAM,"1491 OWASIPPE ROAD,TWIN LAKE,MI,49457",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MUSKEGON,CASNOVIA TOWNSHIP,CARRIE MARLATT,"245 S CANADA RD,CASNOVIA,MI,49318",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MUSKEGON,CEDAR CREEK TOWNSHIP,HEATHER DELIMATA,"6556 SWEETER RD,TWIN LAKE,MI,49457",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MUSKEGON,DALTON TOWNSHIP,AMY BROWN,"1616 E RILEY THOMPSON ROAD,ATTACHED TO EXTERIOR OF HALL.,MUSKEGON,MI,49445",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MUSKEGON,EGELSTON TOWNSHIP,KRISTA RITCHARD,"5428 East Apple Avenue,Muskegon,MI,49442",24/7
MUSKEGON,FRUITLAND TOWNSHIP,ALEXA STEFFES,"4545 NESTROM RD,WHITEHALL,MI,49461",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MUSKEGON,FRUITPORT TOWNSHIP,ANDREA ANDERSON,"5865 AIRLINE RD,FRUITPORT,MI,49415",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MUSKEGON,HOLTON TOWNSHIP,CANDY MURAT,"6511 HOLTON WHITEHALL ROAD,HOLTON,MI,49425",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MUSKEGON,LAKETON TOWNSHIP,CHRISTINA ACHTERHOFF,"2735 W. GILES ROAD,MUSKEGON,MI,49445",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MUSKEGON,MONTAGUE CITY,KELLY MARKLEY,"8778 FERRY STREET (FRONT ENTRANCE),MONTAGUE,MI,49437",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MUSKEGON,MONTAGUE TOWNSHIP,DREW ROESLER,"8915 WHITBECK RD,MONTAGUE,MI,49437",
MUSKEGON,MOORLAND TOWNSHIP,ROSE SPOELMAN,"12416 EAST APPLE AVENUE,DROPBOX IS IN EAST OFFICE DOOR,RAVENNA,MI,49451",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MUSKEGON,MUSKEGON CITY,ANN MARIE MEISCH,"1477 MARQUETTE AVENUE,BETWEEN KRAFT AND CRESTON,MUSKEGON,MI,49442",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MUSKEGON,MUSKEGON CITY,ANN MARIE MEISCH,"1836 ROBINSON STREET,LAKETON AVENUE & LAKESHORE DRIVE,MUSKEGON,MI,49441",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MUSKEGON,MUSKEGON CITY,ANN MARIE MEISCH,"933 TERRACE STREET (DROP BOX @ 980 JEFFERSON),CORNER OF JEFFERSON ST & MUSKEGON AVE,MUSKEGON,MI,49440",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MUSKEGON,MUSKEGON CITY,ANN MARIE MEISCH,"MUSKEGON CITY HALL, 933 TERRACE STREET,INSIDE LOBBY AT WALTON ST. ENTRANCE,MUSKEGON,MI,49440",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MUSKEGON,MUSKEGON TOWNSHIP,CARRIE WESTBROOK,"1699 N GETTY ST,MUSKEGON,MI,49445",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MUSKEGON,MUSKEGON TOWNSHIP,CARRIE WESTBROOK,"1990 E. APPLE AVE.,MUSKEGON,MI,49442",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
MUSKEGON,NORTH MUSKEGON CITY,TAYLOR HOBBY,"1102 RUDDIMAN DR,NORTH MUSKEGON,MI,49445",
